Host,DateTime,Seconds,Temperature,Humidity,whiteLight,irLight
hc4,2018-06-26 22:48:34,1530067714.6221435,30.2,34.6,,
hc4,2018-06-26 22:48:55,1530067735.298749,30.2,34.6,,
hc4,2018-06-26 22:49:35,1530067775.2341974,30.2,34.6,,
hc4,2018-06-26 22:49:55,1530067795.8902893,30.2,34.6,,
hc4,2018-06-26 22:50:35,1530067835.8288438,30.2,34.6,,
hc4,2018-06-26 22:50:56,1530067856.4835663,30.2,34.6,,
hc4,2018-06-26 22:51:36,1530067896.4234762,30.2,34.5,,
hc4,2018-06-26 22:51:57,1530067917.0772529,30.2,34.5,,
hc4,2018-06-26 22:52:37,1530067957.017303,30.2,34.5,,
hc4,2018-06-26 22:52:57,1530067977.6711657,30.1,34.5,,
hc4,2018-06-26 22:53:37,1530068017.6131403,30.1,34.5,,
hc4,2018-06-26 22:53:58,1530068038.267238,30.1,34.5,,
hc4,2018-06-26 22:54:43,1530068083.3178208,30.1,34.5,,
hc4,2018-06-26 22:54:58,1530068098.860055,30.1,34.5,,
hc4,2018-06-26 22:55:46,1530068146.4429913,30.1,34.5,,
hc4,2018-06-26 22:55:59,1530068159.454818,30.1,34.5,,
hc4,2018-06-26 22:56:47,1530068207.037676,30.1,34.5,,
hc4,2018-06-26 22:57:02,1530068222.5762832,30.1,34.5,,
hc4,2018-06-26 22:57:50,1530068270.160754,30.1,34.5,,
hc4,2018-06-26 22:58:05,1530068285.6964047,30.1,34.5,,
hc4,2018-06-26 22:58:53,1530068333.2820714,30.1,34.5,,
hc4,2018-06-26 22:59:06,1530068346.2916641,30.1,34.5,,
hc4,2018-06-26 22:59:53,1530068393.8765404,30.1,34.5,,
hc4,2018-06-26 23:00:06,1530068406.8857157,30.1,34.5,,
hc4,2018-06-26 23:00:54,1530068454.4696872,30.1,34.5,,
hc4,2018-06-26 23:01:10,1530068470.0107844,30.1,34.5,,
hc4,2018-06-26 23:01:57,1530068517.6069918,30.1,34.5,,
hc4,2018-06-26 23:02:10,1530068530.6071775,30.1,34.5,,
hc4,2018-06-26 23:02:58,1530068578.2039301,30.1,34.5,,
hc4,2018-06-26 23:03:11,1530068591.200736,30.1,34.4,,
hc4,2018-06-26 23:03:58,1530068638.797015,30.1,34.4,,
hc4,2018-06-26 23:04:11,1530068651.7939675,30.0,34.4,,
hc4,2018-06-26 23:05:01,1530068701.917785,30.1,34.5,,
hc4,2018-06-26 23:05:12,1530068712.3856974,30.1,34.5,,
hc4,2018-06-26 23:06:05,1530068765.03866,30.1,34.5,,
hc4,2018-06-26 23:06:15,1530068775.510736,30.1,34.5,,
hc4,2018-06-26 23:07:05,1530068825.6327093,30.0,34.4,,
hc4,2018-06-26 23:07:16,1530068836.1047702,30.0,34.4,,
hc4,2018-06-26 23:08:06,1530068886.2296705,30.0,34.5,,
hc4,2018-06-26 23:08:16,1530068896.69879,30.1,34.5,,
hc4,2018-06-26 23:09:14,1530068954.488582,30.0,34.4,,
hc4,2018-06-26 23:09:17,1530068957.2911959,30.0,34.4,,
hc4,2018-06-26 23:10:22,1530069022.7487528,30.0,34.4,,
hc4,2018-06-26 23:10:25,1530069025.4621594,30.0,34.4,,
hc4,2018-06-26 23:11:25,1530069085.8974547,30.0,34.4,,
hc4,2018-06-26 23:11:28,1530069088.5800734,30.0,34.5,,
hc4,2018-06-26 23:12:26,1530069146.5085251,30.0,34.5,,
hc4,2018-06-26 23:12:29,1530069149.172613,30.0,34.5,,
hc4,2018-06-26 23:13:32,1530069212.179608,30.0,34.5,,
hc4,2018-06-26 23:13:34,1530069214.8194513,30.0,34.5,,
hc4,2018-06-26 23:14:32,1530069272.7731552,30.0,34.5,,
hc4,2018-06-26 23:14:35,1530069275.4144511,30.0,34.5,,
hc4,2018-06-26 23:15:33,1530069333.3721073,30.0,34.5,,
hc4,2018-06-26 23:15:36,1530069336.0097237,30.0,34.5,,
hc4,2018-06-26 23:16:33,1530069393.964941,30.0,34.5,,
hc4,2018-06-26 23:16:36,1530069396.6057436,30.0,34.5,,
hc4,2018-06-26 23:17:34,1530069454.5606062,29.9,34.4,,
hc4,2018-06-26 23:17:49,1530069469.8444414,30.0,34.5,,
hc4,2018-06-26 23:18:35,1530069515.1550043,30.0,34.5,,
hc4,2018-06-26 23:18:50,1530069530.4386945,30.0,34.5,,
hc4,2018-06-26 23:19:35,1530069575.751412,30.0,34.5,,
hc4,2018-06-26 23:19:51,1530069591.0346074,30.0,34.5,,
hc4,2018-06-26 23:20:36,1530069636.3455615,30.0,34.5,,
hc4,2018-06-26 23:20:56,1530069656.684655,30.0,34.5,,
hc4,2018-06-26 23:21:41,1530069701.9971147,30.0,34.5,,
hc4,2018-06-26 23:22:07,1530069727.3956158,30.0,34.5,,
hc4,2018-06-26 23:22:42,1530069762.5909216,29.9,34.5,,
hc4,2018-06-26 23:23:07,1530069787.989296,30.0,34.5,,
hc4,2018-06-26 23:23:43,1530069823.18523,29.9,34.5,,
hc4,2018-06-26 23:24:08,1530069848.584248,30.0,34.5,,
hc4,2018-06-26 23:24:46,1530069886.3085277,29.9,34.5,,
hc4,2018-06-26 23:25:09,1530069909.1771965,29.9,34.5,,
hc4,2018-06-26 23:25:54,1530069954.4893239,29.9,34.5,,
hc4,2018-06-26 23:26:12,1530069972.3023524,29.9,34.5,,
hc4,2018-06-26 23:26:57,1530070017.611171,29.9,34.5,,
hc4,2018-06-26 23:27:15,1530070035.423593,29.9,34.5,,
hc4,2018-06-26 23:28:00,1530070080.7358205,29.9,34.5,,
hc4,2018-06-26 23:28:18,1530070098.545266,29.9,34.5,,
hc4,2018-06-26 23:29:01,1530070141.329473,29.9,34.5,,
hc4,2018-06-26 23:29:21,1530070161.66658,29.9,34.5,,
hc4,2018-06-26 23:30:01,1530070201.9245949,29.9,34.5,,
hc4,2018-06-26 23:30:27,1530070227.317407,29.9,34.6,,
hc4,2018-06-26 23:31:02,1530070262.5275142,29.9,34.5,,
hc4,2018-06-26 23:31:27,1530070287.9103491,29.9,34.6,,
hc4,2018-06-26 23:32:03,1530070323.121334,29.9,34.6,,
hc4,2018-06-26 23:32:33,1530070353.5653024,29.9,34.6,,
hc4,2018-06-26 23:33:03,1530070383.7168722,29.9,34.6,,
hc4,2018-06-26 23:33:34,1530070414.1577246,29.9,34.6,,
hc4,2018-06-26 23:34:09,1530070449.3669474,29.9,34.6,,
hc4,2018-06-26 23:34:34,1530070474.7529602,29.9,34.6,,
hc4,2018-06-26 23:35:09,1530070509.9598908,29.9,34.6,,
hc4,2018-06-26 23:35:37,1530070537.8760033,29.9,34.6,,
hc4,2018-06-26 23:36:10,1530070570.554186,29.9,34.6,,
hc4,2018-06-26 23:36:43,1530070603.5258603,29.9,34.6,,
hc4,2018-06-26 23:37:13,1530070633.6771321,29.9,34.7,,
hc4,2018-06-27 08:59:54,1530104394.068018,29.9,34.7,,
hc4,2018-06-27 08:59:55,1530104395.755308,29.2,47.9,,
hc4,2018-06-27 09:00:54,1530104454.673664,29.2,47.9,,
hc4,2018-06-27 09:00:56,1530104456.362567,29.2,48.0,,
hc4,2018-06-27 09:01:55,1530104515.2696865,29.2,48.0,,
hc4,2018-06-27 09:01:56,1530104516.9565315,29.2,47.9,,
hc4,2018-06-27 09:02:55,1530104575.8624473,29.1,47.9,,
hc4,2018-06-27 09:03:00,1530104580.078825,29.2,47.9,,
hc4,2018-06-27 09:03:56,1530104636.45618,29.2,47.9,,
hc4,2018-06-27 09:04:00,1530104640.6732523,29.2,47.9,,
hc4,2018-06-27 09:04:59,1530104699.5773664,29.2,47.9,,
hc4,2018-06-27 09:05:01,1530104701.2644897,29.2,48.0,,
hc4,2018-06-27 09:06:00,1530104760.1708426,29.2,48.0,,
hc4,2018-06-27 09:06:01,1530104761.85958,29.2,48.1,,
hc4,2018-06-27 09:07:00,1530104820.7667313,29.2,48.1,,
hc4,2018-06-27 09:07:02,1530104822.4542232,29.3,48.1,,
hc4,2018-06-27 09:08:03,1530104883.888455,29.3,48.1,,
hc4,2018-06-27 09:08:08,1530104888.1119292,29.3,48.1,,
hc4,2018-06-27 09:09:04,1530104944.4830122,29.2,48.0,,
hc4,2018-06-27 09:09:11,1530104951.2374365,29.2,48.1,,
hc4,2018-06-27 09:10:05,1530105005.0768244,29.3,48.1,,
hc4,2018-06-27 09:10:16,1530105016.8886359,29.3,48.1,,
